"editor","year","changesets","users"
"539h","2015","13","1"
"Softek.i","2017","12","1"
"Rechtsan","2015","12","3"
"osm-bank","2017","12","1"
"","2020","12","2"
"OsmInEdi","2020","12","9"
"-","2016","12","4"
"Synup","2015","12","1"
"C:\Users","2015","12","1"
"mumpot 0","2015","12","1"
"RoofMapp","2016","12","2"
"Shaplakh","2016","12","1"
"Mapcat 0","2018","11","7"
"fergsarm","2016","11","1"
"Restaura","2015","11","11"
"Zahnarzt","2015","11","7"
"iLOE 1.9","2015","11","4"
"Populate","2019","11","3"
"hurden","2017","11","1"
"BKK DEMA","2015","11","1"
"Pro-Insi","2016","11","1"
"iD 2.1.0","2017","11","1"
"Manon&Qu","2015","11","1"
"mdshamim","2016","11","1"
"OsmAnd 1","2018","11","4"
"Smart-Uf","2018","11","1"
"MapContr","2015","11","3"
"Refill S","2019","11","1"
"slayer@G","2016","11","1"
"Fabio","2015","11","1"
"barnehag","2016","11","1"
"ATSR Edi","2017","11","1"
"ANSAR VD","2017","11","1"
"JOSM","2015","11","4"
"Lemeki V","2016","10","1"
"rraaddaa","2015","10","1"
"java_1.8","2020","10","1"
"Residenz","2015","10","1"
"streetwo","2016","10","1"
"rahino(ر","2018","10","5"
"Volkswag","2015","10","1"
"2350743 ","2015","10","1"
"hossaini","2017","10","1"
"Lolotora","2016","10","1"
"Mainzer ","2015","10","1"
"actimond","2015","10","1"
"Fahrschu","2015","10","4"
"BauGrund","2015","10","1"
"mimakter","2016","10","1"
"rahino(ر","2017","9","4"
"Open Sur","2017","9","2"
"Planet E","2019","9","3"
"sheikkil","2018","9","1"
"gloslad","2016","9","1"
"mimakter","2017","9","1"
"wemapp","2017","9","3"
"restore-","2020","9","6"
"JOSM (79","2015","8","1"
"XmaX ios","2017","8","3"
"abc nail","2015","8","1"
"XmaX and","2017","8","5"
"SviMik","2020","8","1"
"cjwind","2017","8","1"
"ccca00","2017","8","1"
"OSM Edit","2015","8","1"
"vickykum","2015","8","2"
"manual r","2017","8","1"
"JOSM","2017","8","3"
"Pearl Ma","2016","8","3"
"Parfümer","2015","8","2"
"bulk_upl","2018","8","4"
"Physioth","2015","8","8"
"BusLanes","2019","8","4"
"manual H","2017","8","1"
"Fraunhof","2015","8","1"
"Thermond","2015","8","1"
"mariakla","2017","8","1"
"Alteryx","2020","7","1"
"Tabroz S","2016","7","1"
"atora","2016","7","1"
"詹竣硯","2016","7","1"
"osm-tool","2015","7","2"
"Perl mod","2017","7","1"
