"id","uid","user","num_changes","date","imagery_used","hashtags","created_by","min_lat","max_lat","min_lon","max_lon"
"88516355","7803086","Cooking 15610","27","2020-07-26","fr.ign.bdortho",,"iD 2.18.3","48.5022857","48.5027077","0.1033503","0.1079814"
"88516354","64557","qpeso","36","2020-07-26","Bing aerial imagery",,"Vespucci 14.1.6.0","47.5353846","47.5642795","9.3780019","9.4008373"
"88516353","1927048","Schakkebroek","2","2020-07-26",,,"JOSM/1.5 (16731 nl)","50.1244469","50.1334096","5.6688609","5.6775639"
"88516352","9171610","Matt DaKine","2","2020-07-26","Geoportal2-PL-aerial_image;Geoportal2-PL-prng",,"iD 2.18.3","49.4866700","49.4876616","20.1427992","20.1436938"
"88516351","3029814","Jakub Broch","2","2020-07-26","Geoportal2-PL-aerial_image",,"iD 2.18.3","52.9643898","52.9644469","14.6072115","14.6073290"
"88516350","11377198","Ben Pearcey","19","2020-07-26","Bing;.gpx data file","#hotosm-project-8988;#covid19;#COVJam","iD 2.17.3","18.0565004","18.0566850","-77.5390985","-77.5388113"
"88516349","11409388","Hutte","6","2020-07-26","lantmateriet-topowebb",,"iD 2.18.3","57.4129132","57.4159594","12.1114127","12.1176382"
"88516348","11551703","JohnnyAZ520","1","2020-07-26","Bing",,"iD 2.18.3","32.7540337","32.7540337","-111.5561819","-111.5561819"
"88516347","2094488","didimosi","152","2020-07-26",,,"JOSM/1.5 (16731 de)","52.8043019","52.8070166","9.1272743","9.1315296"
"88516346","10296811","Luc Gential","23","2020-07-26",,,"JOSM/1.5 (16731 fr)","45.3097335","45.3286736","6.2701143","6.2926663"
"88516345","251688","Molko","37","2020-07-26","Bing",,"iD 2.18.3","43.3027341","43.3104968","11.3223013","11.3326120"
"88516344","11377198","Ben Pearcey","57","2020-07-26","Bing;.gpx data file","#hotosm-project-8988;#covid19;#COVJam","iD 2.17.3","18.0544400","18.0564412","-77.5399989","-77.5386451"
"88516343","2377664","FrShaft","46","2020-07-26","fr.ign.bdortho",,"iD 2.18.3","49.4106547","49.4240261","1.0726643","1.0937857"
"88516342","8161404","yumean1119","1","2020-07-26",,,"JOSM/1.5 (16780 ja)","33.3384790","33.3492791","130.5280709","130.5400550"
"88516341","3429710","Natalia18","5","2020-07-26","EsriWorldImagery",,"iD 2.18.3","59.7625119","59.7625726","30.5948515","30.5950555"
"88516340","5211","emvee","14","2020-07-26",,,"JOSM/1.5 (16731 en)","51.8867303","52.0022204","4.3424346","4.4651196"
"88516339","3172019","nurdafur","114","2020-07-26","Esri World Imagery;Esri World Imagery (Clarity) Beta",,"Vespucci 14.0.13.0","49.0416562","49.0507344","8.2681258","8.2838781"
"88516338","175882","MarcoR","18","2020-07-26",,,"JOSM/1.5 (16731 it)","43.6042502","43.6328147","10.3531609","10.3585993"
"88516337","978786","padvinder","1","2020-07-26","PDOK aerial imagery Beeldmateriaal.nl 25cm latest TMS",,"Go Map!! 1.7.1","52.0805820","52.0813088","6.0903591","6.0942389"
"88516336","10124868","rkkarnee","25","2020-07-26","Esri World Imagery;Bing Streetside;Mapillary Images","#MapWithAI","iD 2.17.2","35.6456781","35.7071925","-86.6967968","-86.6867066"
